item_name,"Avg change in sales when colder","Avg change in sales when warmer"
Americano,0.0,0.09375
"Apple Juice",0.0625,-0.03125
"Au Lait, Unknown",0.03125,-0.3125
"Cappuccino, Unknown",-0.9375,0.0
"Cascara Fizz",-0.125,0.1875
"Chemex Coffee",0.1875,-0.03125
"Drip Coffee",0.625,-1.09375
Espresso,-0.3125,0.03125
Gibraltar,-0.125,-0.09375
"Hot Chocolate",0.25,-0.09375
Latte,1.03125,0.375
Macchiato,0.09375,-0.1875
Milk,-0.09375,0.03125
Mocha,0.09375,0.5
"NOLA Carton",-0.625,-0.46875
"New Orleans Iced Coffee (cup)",-1.1875,-0.625
"S.O. Iced - 4 oz Oji",-0.4375,0.09375
"S.O. Iced Coffee",0.15625,0.0625
"Sparkling Water",0.125,-0.15625
"Still Water",0.03125,-0.125
Tea,0.09375,0.125
